r,energy
1,-110.07886723
1,-109.62220837
1,-110.65948168
1,-111.00189936
1,-109.72240769
1,-111.35703878
1,-110.82192023
1,-110.38780222
1,-111.59875077
1,-111.43228041
1,-110.03902413
1,-110.01148953
1,-109.10153116
1,-109.87796141
1,-108.33334266
1,-106.67708497
1,-107.88550551
1,-108.49696292
1,-108.22436960
1,-108.87770576
1,-109.70491112
1,-108.28159045
1,-108.40061439
1,-108.25870940
1,-108.37121555
1,-107.69961273
1,-108.13454337
1,-109.02862671
1,-108.55832498
1,-108.89443806
1,-108.79835302
1,-107.79374023
1,-109.08535932
1,-106.66216940
1,-108.34800355
1,-108.00099850
1,-109.02187420
1,-108.76532671
1,-109.59901793
1,-109.57678024
1,-110.01443582
1,-108.81448263
1,-108.22336828
1,-108.73876178
1,-108.44840965
1,-109.45231766
1,-109.99121655
1,-108.43708686
1,-109.50998151
1,-109.13945020
